,word
0,i
1,am
2,is
3,do
4,are
5,love
6,be
7,yeah
8,will
9,want
10,know
11,got
12,oh
13,let
14,baby
15,go
16,get
17,have
18,come
19,can
20,girl
21,going
22,make
23,cannot
24,way
25,hey
26,say
27,take
28,night
29,time
30,u
31,would
32,feel
33,need
34,give
35,ooh
36,see
37,wa
38,heart
39,been
40,tonight
41,could
42,s
43,tell
44,keep
45,life
46,think
47,good
48,put
49,thing
50,work
51,hand
52,something
53,na
54,day
55,world
56,light
57,look
58,dance
59,run
60,mind
61,ya
62,body
63,turn
64,had
65,stop
66,call
67,little
68,boy
69,right
70,nothing
71,said
72,touch
73,boom
74,eye
75,were
76,show
77,did
78,name
79,ah
80,hold
81,feeling
82,move
83,break
84,find
85,everybody
86,should
87,fire
88,ohoh
89,hard
90,bad
91,talk
92,fall
93,stay
94,gon
95,made
96,mean
97,big
98,la
99,one
100,head
101,place
102,lose
103,uh
104,home
105,lie
106,rock
107,looking
108,more
109,care
110,hear
111,high
112,came
113,ready
114,play
115,try
116,man
117,getting
118,party
119,leave
120,same
121,last
122,bitch
123,side
124,everything
125,friend
126,til
127,new
128,song
129,mine
130,burn
131,crazy
132,eh
133,babe
134,alive
135,coming
136,found
137,hit
138,kiss
139,shit
140,other
141,live
142,beautiful
143,young
144,money
145,someone
146,bring
147,wait
148,dream
149,walk
150,somebody
151,hurt
152,floor
153,woo
154,beat
155,hope
156,feelin
157,real
158,shake
159,free
160,believe
161,word
162,low
163,change
164,fly
165,tryna
166,please
167,runnin
168,nobody
169,die
170,sweet
171,sky
172,like
173,only
174,remember
175,told
176,doe
177,used
178,knew
179,might
180,end
181,better
182,que
183,yo
184,cry
185,wrong
186,whoa
187,wall
188,wish
189,best
190,living
191,face
192,doing
193,mama
194,drink
195,woah
196,cold
197,running
198,waiting
199,deep
200,mmm
201,c
202,perfect
203,alright
204,left
205,hot
206,anything
207,long
208,start
209,star
210,luh
211,club
212,bass
213,kind
214,hate
215,people
216,took
217,top
218,booty
219,enough
220,loving
221,much
222,fuck
223,close
224,ohohoh
225,le
226,sing
227,mon
228,own
229,sorry
230,lip
231,higher
232,true
233,doo
234,music
235,done
236,sun
237,forget
238,damn
239,open
240,kill
241,fight
242,lost
243,lover
244,wild
245,gone
246,tear
247,next
248,moment
249,bout
250,ayy
251,thought
252,da
253,sure
254,truth
255,watch
256,blow
257,god
258,trying
259,lucky
260,drip
261,falling
262,ha
263,understand
264,ride
265,game
266,huh
267,air
268,minute
269,tryin
270,wiggle
271,diamond
272,yes
273,being
274,guy
275,whole
276,room
277,old
278,dancing
279,line
280,soul
281,saying
282,cut
283,back
284,y
285,dohdohdoh
286,sick
287,met
288,set
289,learn
290,roll
291,calling
292,felt
293,bit
294,dark
295,picky
296,taking
297,broken
298,drop
299,taste
300,clear
301,saw
302,late
303,thinking
304,bottle
305,must
306,door
307,breathe
308,making
309,wake
310,papi
311,meet
312,foot
313,drippin
314,matter
315,trouble
316,cool
317,uhhuh
318,okay
319,sugar
320,lookin
321,red
322,promise
323,nigga
324,hell
325,fun
326,dirty
327,nah
328,reason
329,loud
330,shot
331,summer
332,problem
333,clap
334,help
335,bang
336,easy
337,kissing
338,everyone
339,chance
340,number
341,seem
342,first
343,bed
344,stranger
345,round
346,shine
347,glass
348,till
349,pain
350,hide
351,blame
352,giving
353,water
354,dj
355,broke
356,edge
357,year
358,second
359,darling
360,simple
361,many
362,heard
363,lay
364,hair
365,worry
366,mi
367,kid
368,sexy
369,happy
370,slow
371,loca
372,ground
373,house
374,sound
375,drunk
376,cross
377,may
378,fear
379,loved
380,sleep
381,tried
382,throw
383,tomorrow
384,car
385,born
386,stand
387,castle
388,lady
389,ice
390,fine
391,city
392,fuckin
393,morning
394,ole
395,swear
396,freak
397,rest
398,guess
399,talking
400,arm
401,clapper
402,greatest
403,oohooh
404,control
405,story
406,gettin
407,bright
408,watching
409,blah
410,dollar
411,miss
412,jump
413,seen
414,different
415,memory
416,focus
417,melody
418,white
419,smile
420,pop
421,black
422,movin
423,bar
424,gold
425,caught
426,few
427,space
428,dancin
429,wood
430,holding
431,marry
432,wanted
433,middle
434,knee
435,hello
436,fake
437,part
438,mess
439,turned
440,rise
441,empty
442,afraid
443,skin
444,wind
445,standing
446,trust
447,road
448,crowd
449,full
450,kick
451,tired
452,pull
453,yours
454,bringing
455,â€”
456,carry
457,save
458,gave
459,american
460,nananana
461,outta
462,check
463,plan
464,ask
465,woman
466,known
467,harder
468,honey
469,stuck
470,mouth
471,today
472,cloud
473,un
474,el
475,angel
476,went
477,stone
478,te
479,secret
480,scared
481,flame
482,lead
483,wine
484,rockabye
485,ohohohoh
486,step
487,dangerous
488,missing
489,send
490,act
491,count
492,phone
493,street
494,nana
495,burning
496,lift
497,needed
498,meant
499,stronger
